iter	Passed	Remaining
0	145	72818
1	156	38854
2	156	25941
3	157	19473
4	161	16033
5	160	13215
6	166	11710
7	177	10942
8	178	9731
9	192	9430
10	192	8570
11	193	7856
12	193	7252
13	194	6735
14	194	6286
15	194	5893
16	195	5548
17	195	5240
18	197	5001
19	198	4753
20	199	4553
21	204	4449
22	205	4256
23	205	4078
24	206	3914
25	206	3762
26	212	3730
27	213	3596
28	213	3472
29	214	3356
30	218	3307
31	219	3203
32	219	3106
33	223	3067
34	224	2982
35	224	2898
36	225	2819
37	225	2745
38	228	2706
39	229	2637
40	229	2572
41	230	2510
42	230	2451
43	231	2394
44	231	2340
45	231	2288
46	235	2273
47	236	2225
48	236	2178
49	238	2144
50	238	2101
51	241	2084
52	242	2044
53	242	2005
54	247	1999
55	247	1962
56	247	1927
57	250	1908
58	252	1888
59	253	1855
60	253	1824
61	258	1824
62	258	1793
63	259	1764
64	259	1736
65	259	1709
66	260	1682
67	262	1666
68	262	1641
69	263	1616
70	263	1592
71	264	1570
72	264	1547
73	265	1526
74	275	1563
75	276	1541
76	276	1520
77	277	1499
78	277	1478
79	279	1468
80	280	1448
81	280	1429
82	280	1411
83	281	1393
84	281	1375
85	282	1358
86	286	1357
87	289	1354
88	291	1344
89	291	1328
90	292	1312
91	294	1304
92	294	1290
93	296	1279
94	296	1264
95	299	1262
96	300	1248
97	300	1233
98	301	1219
99	306	1227
100	307	1213
101	307	1200
102	308	1187
103	314	1196
104	314	1183
105	315	1171
106	315	1158
107	321	1166
108	321	1153
109	322	1142
110	322	1130
111	322	1118
112	323	1107
113	323	1095
114	324	1084
115	324	1073
116	324	1063
117	325	1052
118	325	1042
119	330	1046
120	330	1036
121	331	1026
122	331	1016
123	332	1007
124	332	997
125	332	988
126	337	992
127	338	983
128	338	974
129	339	965
130	339	957
131	340	949
132	340	940
133	343	937
134	343	928
135	346	928
136	353	936
137	354	928
138	354	920
139	354	912
140	355	904
141	355	896
142	356	890
143	357	882
144	357	875
145	357	867
146	358	860
147	358	853
148	359	846
149	359	839
150	359	831
151	360	825
152	360	818
153	361	811
154	361	805
155	362	798
156	362	792
157	362	785
158	363	779
159	363	772
160	364	766
161	364	760
162	364	754
163	366	751
164	366	745
165	373	751
166	374	745
167	374	740
168	374	734
169	379	736
170	379	730
171	384	733
172	385	728
173	385	722
174	385	716
175	386	711
176	386	706
177	387	700
178	387	695
179	388	690
180	388	684
181	389	679
182	389	674
183	389	669
184	390	664
185	390	659
186	391	654
187	391	649
188	391	644
189	392	640
190	396	640
191	396	636
192	397	631
193	397	627
194	398	622
195	398	618
196	398	613
197	399	609
198	399	604
199	400	600
200	400	595
201	400	591
202	401	587
203	406	589
204	407	586
205	407	581
206	413	585
207	414	581
208	414	577
209	415	573
210	419	574
211	422	573
212	422	569
213	423	565
214	423	561
215	424	557
216	424	553
217	425	549
218	430	552
219	430	548
220	431	544
221	433	543
222	434	539
223	434	535
224	435	531
225	442	536
226	443	532
227	443	529
228	443	525
229	444	521
230	444	517
231	445	514
232	445	510
233	446	506
234	446	503
235	446	499
236	447	496
237	454	500
238	455	497
239	455	493
240	460	494
241	460	491
242	461	487
243	462	484
244	462	481
245	462	477
246	463	474
247	467	474
248	471	475
249	474	474
250	475	471
251	475	468
252	479	467
253	489	474
254	494	474
255	494	471
256	495	468
257	495	464
258	495	461
259	496	458
260	496	455
261	497	451
262	497	448
263	498	445
264	498	442
265	499	439
266	499	435
267	499	432
268	500	429
269	500	426
270	501	423
271	501	420
272	502	417
273	502	414
274	504	412
275	504	409
276	505	406
277	505	403
278	505	400
279	506	397
280	508	396
281	509	393
282	509	390
283	510	388
284	512	386
285	512	383
286	513	381
287	513	378
288	515	376
289	515	373
290	516	370
291	516	368
292	517	365
293	517	362
294	518	360
295	523	360
296	524	358
297	524	355
298	524	352
299	525	350
300	528	349
301	529	346
302	529	344
303	530	341
304	531	339
305	531	337
306	532	334
307	532	332
308	533	329
309	542	332
310	543	330
311	543	327
312	544	325
313	544	322
314	545	320
315	546	318
316	546	315
317	547	313
318	547	310
319	548	308
320	548	305
321	548	303
322	549	300
323	551	299
324	557	300
325	557	297
