iter	RMSE
0	14.491851231	14.53739856
2	14.04824149
3	13.61416635
44	13.21568029
5	12.80260274
6	12.433755767	11.37961684
8	11.08396551
9	10.80618824
10	10.6039489
11	10.33396884
12	10.12588906
13	9.859933861
14	9.609446035
15	9.361000095
16	9.12730846
17	8.925804423
18	8.717462045
19	8.552351214
20	8.395664457
21	8.235935353
22	8.079050283
23	7.94070012
24	7.821058469
25	7.707005986
26	7.572571621
27	7.463532912
28	7.341653198
29	7.248843342
30	7.144679916
31	7.05734711
32	6.977996869
33	6.89467641
34	6.81029544
35	6.737754298
36	6.672335483
37	6.616089372
38	6.552972993
39	6.496344227
40	6.432608184
41	6.380220731
42	6.322833898
43	6.28311982
44	6.243184569
45	6.188192528
46	6.146833439
47	6.107434361
48	6.059186176
49	6.023618591
50	5.993794524
51	5.955853406
52	5.922485581
53	5.899203324
54	5.86433554
55	5.839097096
56	5.813227821
57	5.778483078
58	5.752105641
59	5.726854069
60	5.708219121
61	5.687070522
62	5.668579747
63	5.64926795
64	5.631019618
65	5.610095931
66	5.5877042
67	5.563470205
68	5.548327233
69	5.530793614
70	5.511873188
71	5.497831982
72	5.485313941
73	5.469396946
74	5.454848858
75	5.441528822
76	5.429947827
77	5.419286425
78	5.413583807
79	5.401790942
80	5.386788371
81	5.373533302
82	5.358845214
83	5.347531663
84	5.337941509
85	5.326440799
86	5.320613675
87	5.311789762
88	5.30355418
89	5.293178894
90	5.282672348
91	5.275822075
92	5.268633819
93	5.26206005
94	5.254134186
95	5.247593222
96	5.237897444
97	5.234133518
98	5.228162444
99	5.22039726
100	5.215048671
101	5.206121212
102	5.198927279
103	5.192042867
104	5.181887105
105	5.172801074
106	5.164405422
107	5.156302418
108	5.149640545
109	5.145322034
110	5.138551137
111	5.132590992
112	5.127426495
113	5.11822694
114	5.113799913
115	5.111056685
116	5.107103279
117	5.101645896
118	5.09659935
119	5.091283398
120	5.086793988
121	5.084109328
122	5.080839723
123	5.076081076
124	5.06904032
125	5.061060996
126	5.056453576
127	5.052408994
128	5.049527808
129	5.04506046
130	5.04002118
131	5.034663429
132	5.03146254
133	5.028037618
134	5.024760267
135	5.022455574
136	5.017696619
137	5.01057673
138	5.004401953
139	5.001602698
140	4.998508055
141	4.993400673
142	4.988417832
143	4.983467792
144	4.978032038
145	4.974035934
146	4.968147116
147	4.96120207
148	4.950527694
149	4.944632501
150	4.941777215
151	4.936893206
152	4.933843593
153	4.930994697
154	4.927975259
155	4.923009104
156	4.919982916
157	4.918023312
158	4.912884055
159	4.910565247
160	4.903791824
161	4.901237929
162	4.891944552
163	4.884195407
164	4.877058777
165	4.870186047
166	4.863235213
167	4.855892341
168	4.851953906
169	4.848981573
170	4.846144755
171	4.840022649
172	4.835001053
173	4.830980053
174	4.825052214
175	4.816801016
176	4.812825337
177	4.808007438
178	4.804723709
179	4.800783391
180	4.79770513
181	4.793186006
182	4.790754962
183	4.785641755
184	4.782020166
185	4.777514141
186	4.775575959
187	4.770044682
188	4.764063535
189	4.758298669
190	4.755757432
191	4.752447268
192	4.749870432
193	4.745799258
194	4.740461414
195	4.737814075
196	4.735672522
197	4.728738208
198	4.723205238
199	4.718125314
200	4.712293611
201	4.707980287
202	4.706001178
203	4.70091199
204	4.696519881
205	4.694704582
206	4.691041496
207	4.68423516
208	4.679647438
209	4.675952525
210	4.669662234
211	4.665979618
212	4.664500119
213	4.661133713
214	4.658878998
215	4.654935135
216	4.653577417
217	4.648375034
218	4.645744125
219	4.641185222
220	4.635879889
221	4.631672659
222	4.628039482
223	4.624827551
224	4.622794276
225	4.616685404
226	4.612239109
227	4.608432947
228	4.606857618
229	4.604628532
230	4.601591657
231	4.596564454
232	4.592273602
233	4.590694092
234	4.588398422
235	4.583511162
236	4.579082424
237	4.573322089
238	4.570470966
239	4.569133712
240	4.564698158
241	4.560954929
242	4.559460477
243	4.558056977
244	4.554729026
245	4.551109721
246	4.545908662
247	4.542189631
248	4.538879217
249	4.533431212
250	4.53233731
251	4.528205257
252	4.52480576
253	4.521968182
254	4.520358719
255	4.519048885
256	4.517818318
257	4.515113457
258	4.510593014
259	4.507450269
260	4.503639944
261	4.499465565
262	4.4958943
263	4.491577101
264	4.489509667
265	4.485600224
266	4.483016562
267	4.481856842
268	4.477058298
269	4.473779255
270	4.469755186
271	4.463206226
272	4.461781078
273	4.457709901
274	4.45558377
275	4.451911344
276	4.450666966
277	4.449596198
278	4.443641549
279	4.437661935
280	4.431276376
281	4.429443753
282	4.425803633
283	4.422280805
284	4.42036725
285	4.419376434
286	4.417004737
287	4.409981094
288	4.405720351
289	4.404066715
290	4.402971671
291	4.402050752
292	4.396372232
293	4.391830318
294	4.387893744
295	4.385972991
296	4.383030553
297	4.379134657
298	4.373592706
299	4.372587664
300	4.370261713
301	4.36668613
302	4.363642451
303	4.356681441
304	4.354002936
305	4.351663614
306	4.348494077
307	4.347648343
308	4.344010613
309	4.343158685
310	4.340410928
311	4.335751014
312	4.332135872
313	4.329423961
314	4.326548947
315	4.325555497
316	4.324124404
317	4.322167557
318	4.320640543
319	4.316809679
320	4.313481313
321	4.311404473
322	4.310430358
323	4.306857602
324	4.304406551
325	4.301856736
326	4.297392936
327	4.294857131
328	4.291933646
329	4.288831356
330	4.286115448
331	4.283108299
332	4.280769634
333	4.276292829
334	4.273851473
335	4.26997238
336	4.268378407
337	4.265654665
338	4.264964653
